,Year,Area,Variable,Generation (TWh),Share of production (%),Kind of energy
396,2000,Portugal,Other fossil,8.771,20.2227243382827,Fossil
397,2000,Portugal,Nuclear,0.0,0.0,Fossil
399,2000,Portugal,Hydro,11.323,26.1067047864982,Renewable
401,2000,Portugal,Wind,0.168,0.38734667527437,Renewable
402,2000,Portugal,Solar,0.001,0.00230563497187125,Renewable
403,2000,Portugal,Bioenergy,1.296,2.98810292354514,Renewable
404,2000,Portugal,Other renewables,0.08,0.1844507977497,Renewable
409,2000,Romania,Coal,18.926,36.7067494181536,Fossil
410,2000,Romania,Hard Coal,0.383,0.742823894491854,Fossil
411,2000,Romania,Lignite,18.543,35.9639255236617,Fossil
412,2000,Romania,Gas,9.001,17.4573312645461,Fossil
413,2000,Romania,Other fossil,3.399,6.5923196276183,Fossil
414,2000,Romania,Nuclear,5.456,10.5818463925523,Fossil
416,2000,Romania,Hydro,14.778,28.6617532971295,Renewable
418,2000,Romania,Wind,0.0,0.0,Renewable
419,2000,Romania,Solar,0.0,0.0,Renewable
420,2000,Romania,Bioenergy,0.0,0.0,Renewable
421,2000,Romania,Other renewables,0.0,0.0,Renewable
426,2000,Slovakia,Coal,5.584,18.1310474706149,Fossil
427,2000,Slovakia,Hard Coal,3.369,10.9390220144165,Fossil
428,2000,Slovakia,Lignite,2.215,7.19202545619845,Fossil
429,2000,Slovakia,Gas,3.344,10.857847912202,Fossil
430,2000,Slovakia,Other fossil,0.761,2.47093967140723,Fossil
431,2000,Slovakia,Nuclear,16.494,53.555425676992,Fossil
433,2000,Slovakia,Hydro,4.61499999999999,14.9847392687836,Renewable
435,2000,Slovakia,Wind,0.0,0.0,Renewable
436,2000,Slovakia,Solar,0.0,0.0,Renewable
437,2000,Slovakia,Bioenergy,0.0,0.0,Renewable
438,2000,Slovakia,Other renewables,0.0,0.0,Renewable
443,2000,Slovenia,Coal,4.611,33.8435655132085,Fossil
444,2000,Slovenia,Hard Coal,0.307,2.25330180276621,Fossil
445,2000,Slovenia,Lignite,4.304,31.5902637104423,Fossil
446,2000,Slovenia,Gas,0.293,2.15054536876384,Fossil
447,2000,Slovenia,Other fossil,0.055,0.403685990723589,Fossil
448,2000,Slovenia,Nuclear,4.761,34.944527306091,Fossil
450,2000,Slovenia,Hydro,3.834721,28.1458753824282,Renewable
452,2000,Slovenia,Wind,0.0,0.0,Renewable
453,2000,Slovenia,Solar,0.0,0.0,Renewable
454,2000,Slovenia,Bioenergy,0.06973,0.511800438784652,Renewable
455,2000,Slovenia,Other renewables,0.0,0.0,Renewable
460,2000,Spain,Coal,79.094,35.8025864917593,Fossil
461,2000,Spain,Hard Coal,72.884,32.9915760217638,Fossil
462,2000,Spain,Lignite,6.21,2.81101046999551,Fossil
463,2000,Spain,Gas,20.178,9.13374706337674,Fossil
464,2000,Spain,Other fossil,24.949,11.2933816772815,Fossil
465,2000,Spain,Nuclear,62.206,28.1580865211821,Fossil
467,2000,Spain,Hydro,28.256,12.790323967825,Renewable
469,2000,Spain,Wind,4.727,2.13971763150866,Renewable
470,2000,Spain,Solar,0.014,0.00633722167148748,Renewable
471,2000,Spain,Bioenergy,1.493,0.675819425395057,Renewable
472,2000,Spain,Other renewables,0.0,0.0,Renewable
477,2000,Sweden,Coal,1.636,1.12647801868876,Fossil
478,2000,Sweden,Hard Coal,1.636,1.12647801868876,Fossil
479,2000,Sweden,Lignite,0.0,0.0,Fossil
480,2000,Sweden,Gas,0.484,0.333261223132862,Fossil
481,2000,Sweden,Other fossil,2.655,1.82811683350774,Fossil
482,2000,Sweden,Nuclear,57.316,39.4652898038907,Fossil
484,2000,Sweden,Hydro,78.584,54.1095040468447,Renewable
486,2000,Sweden,Wind,0.457,0.31467020448702,Renewable
487,2000,Sweden,Solar,0.001418,0.000976372757029749,Renewable
488,2000,Sweden,Bioenergy,4.098,2.82170349669105,Renewable
489,2000,Sweden,Other renewables,0.0,0.0,Renewable
494,2000,United Kingdom,Coal,119.95,32.0400667779632,Fossil
495,2000,United Kingdom,Hard Coal,119.95,32.0400667779632,Fossil
496,2000,United Kingdom,Lignite,0.0,0.0,Fossil
497,2000,United Kingdom,Gas,148.077,39.5531218697829,Fossil
498,2000,United Kingdom,Other fossil,11.315,3.02237061769616,Fossil
499,2000,United Kingdom,Nuclear,85.063,22.7213355592654,Fossil
501,2000,United Kingdom,Hydro,5.086,1.35853088480801,Renewable
503,2000,United Kingdom,Wind,0.947,0.252954924874791,Renewable
504,2000,United Kingdom,Solar,0.001,0.00026711185308848,Renewable
505,2000,United Kingdom,Bioenergy,3.936,1.05135225375626,Renewable
506,2000,United Kingdom,Other renewables,0.0,0.0,Renewable
511,2001,Austria,Coal,6.893,11.2903365824103,Fossil
512,2001,Austria,Hard Coal,5.299,8.67945648486762,Fossil
513,2001,Austria,Lignite,1.594,2.61088009754274,Fossil
514,2001,Austria,Gas,8.746,14.3254437472451,Fossil
515,2001,Austria,Other fossil,3.180009,5.20867139780853,Fossil
516,2001,Austria,Nuclear,0.0,0.0,Fossil
518,2001,Austria,Hydro,40.455406,66.2636225617385,Renewable
520,2001,Austria,Wind,0.104647,0.171405752551791,Renewable
521,2001,Austria,Solar,0.005336,0.00874006035162363,Renewable
522,2001,Austria,Bioenergy,1.667812,2.73177989789395,Renewable
523,2001,Austria,Other renewables,0.0,0.0,Renewable
528,2001,Belgium,Coal,9.936,12.6383271006639,Fossil
529,2001,Belgium,Hard Coal,9.936,12.6383271006639,Fossil
530,2001,Belgium,Lignite,0.0,0.0,Fossil
531,2001,Belgium,Gas,15.78,20.0717392963443,Fossil
532,2001,Belgium,Other fossil,5.478,6.96786995344577,Fossil
533,2001,Belgium,Nuclear,46.349,58.9546923096491,Fossil
535,2001,Belgium,Hydro,0.440999999999999,0.560940242692513,Renewable
537,2001,Belgium,Wind,0.037,0.0470630135592358,Renewable
538,2001,Belgium,Solar,0.0,0.0,Renewable
539,2001,Belgium,Bioenergy,0.597,0.759368083644966,Renewable
540,2001,Belgium,Other renewables,0.0,0.0,Renewable
545,2001,Bulgaria,Coal,19.497,44.8743325354446,Fossil
546,2001,Bulgaria,Hard Coal,4.446,10.2329221137911,Fossil
547,2001,Bulgaria,Lignite,15.051,34.6414104216534,Fossil
548,2001,Bulgaria,Gas,1.908,4.39145645369176,Fossil
549,2001,Bulgaria,Other fossil,0.839,1.93104400662861,Fossil
550,2001,Bulgaria,Nuclear,19.553,45.0032222426809,Fossil
552,2001,Bulgaria,Hydro,1.65099999999999,3.79994476155404,Renewable
554,2001,Bulgaria,Wind,0.0,0.0,Renewable
555,2001,Bulgaria,Solar,0.0,0.0,Renewable
556,2001,Bulgaria,Bioenergy,0.0,0.0,Renewable
557,2001,Bulgaria,Other renewables,0.0,0.0,Renewable
562,2001,Croatia,Coal,1.638,12.8265363653448,Fossil
563,2001,Croatia,Hard Coal,1.625,12.7247384576833,Fossil
564,2001,Croatia,Lignite,0.013,0.101797907661467,Fossil
565,2001,Croatia,Gas,1.823,14.2751988974503,Fossil
566,2001,Croatia,Other fossil,2.129,16.6713650316356,Fossil
567,2001,Croatia,Nuclear,0.0,0.0,Fossil
569,2001,Croatia,Hydro,7.1804,56.2268997055691,Renewable
571,2001,Croatia,Wind,0.0,0.0,Renewable
572,2001,Croatia,Solar,0.0,0.0,Renewable
573,2001,Croatia,Bioenergy,0.0,0.0,Renewable
574,2001,Croatia,Other renewables,0.0,0.0,Renewable
579,2001,Cyprus,Coal,0.0,0.0,Fossil
580,2001,Cyprus,Hard Coal,0.0,0.0,Fossil
581,2001,Cyprus,Lignite,0.0,0.0,Fossil
582,2001,Cyprus,Gas,0.0,0.0,Fossil
583,2001,Cyprus,Other fossil,3.551,100.0,Fossil
584,2001,Cyprus,Nuclear,0.0,0.0,Fossil
586,2001,Cyprus,Hydro,0.0,0.0,Renewable
588,2001,Cyprus,Wind,0.0,0.0,Renewable
589,2001,Cyprus,Solar,0.0,0.0,Renewable
590,2001,Cyprus,Bioenergy,0.0,0.0,Renewable
591,2001,Cyprus,Other renewables,0.0,0.0,Renewable
596,2001,Czech Republic,Coal,52.594,70.8485582498905,Fossil
597,2001,Czech Republic,Hard Coal,5.673,7.64200994318038,Fossil
598,2001,Czech Republic,Lignite,46.921,63.2065483067101,Fossil
599,2001,Czech Republic,Gas,1.58,2.12839339154327,Fossil
600,2001,Czech Republic,Other fossil,2.734726,3.68390680131745,Fossil
601,2001,Czech Republic,Nuclear,14.749,19.8681481847289,Fossil
603,2001,Czech Republic,Hydro,2.054,2.76691140900625,Renewable
605,2001,Czech Republic,Wind,0.0,0.0,Renewable
606,2001,Czech Republic,Solar,8.1e-05,0.000109113838427218,Renewable
607,2001,Czech Republic,Bioenergy,0.52259,0.703972849675063,Renewable
608,2001,Czech Republic,Other renewables,0.0,0.0,Renewable
613,2001,Denmark,Coal,17.819,47.2489592448227,Fossil
614,2001,Denmark,Hard Coal,17.819,47.2489592448227,Fossil
615,2001,Denmark,Lignite,0.0,0.0,Fossil
616,2001,Denmark,Gas,9.273,24.5883382388035,Fossil
617,2001,Denmark,Other fossil,4.775,12.6614164876832,Fossil
618,2001,Denmark,Nuclear,0.0,0.0,Fossil
620,2001,Denmark,Hydro,0.028,0.0742449553204465,Renewable
622,2001,Denmark,Wind,4.306,11.4178134860658,Renewable
623,2001,Denmark,Solar,0.001,0.0026516055471588,Renewable
624,2001,Denmark,Bioenergy,1.511,4.00657598175695,Renewable
625,2001,Denmark,Other renewables,0.0,0.0,Renewable
630,2001,Estonia,Coal,0.0,0.0,Fossil
631,2001,Estonia,Hard Coal,0.0,0.0,Fossil
632,2001,Estonia,Lignite,0.0,0.0,Fossil
633,2001,Estonia,Gas,0.599,7.06118118590121,Fossil
634,2001,Estonia,Other fossil,7.866,92.7266297300483,Fossil
635,2001,Estonia,Nuclear,0.0,0.0,Fossil
637,2001,Estonia,Hydro,0.007,0.082517977130732,Renewable
639,2001,Estonia,Wind,0.0,0.0,Renewable
640,2001,Estonia,Solar,0.0,0.0,Renewable
641,2001,Estonia,Bioenergy,0.011,0.129671106919721,Renewable
642,2001,Estonia,Other renewables,0.0,0.0,Renewable
647,2001,EU-27,Coal,792.372,29.2836385534018,Fossil
648,2001,EU-27,Hard Coal,442.38,16.3490078186178,Fossil
649,2001,EU-27,Lignite,349.992,12.9346307347839,Fossil
650,2001,EU-27,Gas,351.390444,12.9863129353578,Fossil
651,2001,EU-27,Other fossil,234.123347,8.65248074195033,Fossil
652,2001,EU-27,Nuclear,888.887,32.850536897843,Fossil
654,2001,EU-27,Hydro,375.525216,13.8782600761159,Renewable
656,2001,EU-27,Wind,25.78248,0.952841374165557,Renewable
657,2001,EU-27,Solar,0.164502,0.00607948931727989,Renewable
658,2001,EU-27,Bioenergy,32.510353,1.20148292278816,Renewable
659,2001,EU-27,Other renewables,5.096933,0.188367009060019,Renewable
664,2001,EU27+1,Coal,923.833,29.9147391255683,Fossil
665,2001,EU27+1,Hard Coal,573.841,18.5816092459949,Fossil
666,2001,EU27+1,Lignite,349.992,11.3331298795734,Fossil
667,2001,EU27+1,Gas,493.295444,15.9734546385455,Fossil
668,2001,EU27+1,Other fossil,243.482541,7.8842352412671,Fossil
669,2001,EU27+1,Nuclear,978.981,31.7004926473595,Fossil
671,2001,EU27+1,Hydro,379.580925,12.2912521510023,Renewable
673,2001,EU27+1,Wind,26.747566,0.86611590962211,Renewable
674,2001,EU27+1,Solar,0.166322,0.00538569118102815,Renewable
675,2001,EU27+1,Bioenergy,37.036391,1.19927949631323,Renewable
676,2001,EU27+1,Other renewables,5.096956,0.165045099140754,Renewable
681,2001,Finland,Coal,10.614,14.2839096199143,Fossil
