,index,candidat,intentions,erreur_sup,erreur_inf,nom_institut,fin_enquete,echantillon,tour,hypothese,date_enquete
48,358,Emmanuel Macron,55.0,58.1196,51.8804,Ifop,2022-02-14,1378,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-14
49,359,Marine Le Pen,45.0,48.1196,41.8804,Ifop,2022-02-14,1378,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-14
1391,8524,Marine Le Pen,45.0,48.1565,41.8435,Ifop,2022-02-15,1381,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-15
1390,8523,Emmanuel Macron,55.0,58.1565,51.8435,Ifop,2022-02-15,1381,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-15
1256,7917,Emmanuel Macron,56.0,59.4957,52.5043,Ifop,2022-02-17,1371,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-17
1257,7918,Marine Le Pen,44.0,47.4957,40.5043,Ifop,2022-02-17,1371,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-17
460,3648,Marine Le Pen,45.0,48.2088,41.7912,Ifop,2022-02-18,1366,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-18
461,3649,Emmanuel Macron,55.0,58.2088,51.7912,Ifop,2022-02-18,1366,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-18
472,3686,Emmanuel Macron,56.0,59.2416,52.7584,Ifop,2022-02-21,1369,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-21
473,3687,Marine Le Pen,44.0,47.2416,40.7584,Ifop,2022-02-21,1369,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-21
223,1837,Marine Le Pen,44.5,47.7493,41.2507,Ifop,2022-02-22,1372,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-22
222,1836,Emmanuel Macron,55.5,58.7493,52.2507,Ifop,2022-02-22,1372,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-22
1264,7939,Marine Le Pen,45.0,48.1947,41.8053,Ifop,2022-02-24,1374,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-24
1265,7940,Emmanuel Macron,55.0,58.1947,51.8053,Ifop,2022-02-24,1374,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-24
643,4529,Marine Le Pen,44.0,47.136,40.864,Ifop,2022-02-25,1377,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-25
642,4528,Emmanuel Macron,56.0,59.136,52.864,Ifop,2022-02-25,1377,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-25
992,6620,Emmanuel Macron,56.5,59.6008,53.3992,Ifop,2022-02-28,1385,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-28
993,6621,Marine Le Pen,43.5,46.6008,40.3992,Ifop,2022-02-28,1385,Deuxième tour,Hypothèse Macron / Le Pen,2022-02-28
434,3546,Emmanuel Macron,56.5,59.5759,53.4241,Ifop,2022-03-01,1388,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-01
435,3547,Marine Le Pen,43.5,46.5759,40.4241,Ifop,2022-03-01,1388,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-01
236,2040,Marine Le Pen,43.5,46.5665,40.4335,Ifop,2022-03-02,1383,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-02
237,2041,Emmanuel Macron,56.5,59.5665,53.4335,Ifop,2022-03-02,1383,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-02
649,4549,Emmanuel Macron,56.5,59.5754,53.4246,Ifop,2022-03-03,1375,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-03
648,4548,Marine Le Pen,43.5,46.5754,40.4246,Ifop,2022-03-03,1375,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-03
382,3113,Marine Le Pen,43.5,46.5537,40.4463,Ifop,2022-03-04,1372,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-04
383,3114,Emmanuel Macron,56.5,59.5537,53.4463,Ifop,2022-03-04,1372,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-04
1335,8265,Emmanuel Macron,56.0,58.9561,53.0439,Ifop,2022-03-07,1387,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-07
1334,8264,Marine Le Pen,44.0,46.9561,41.0439,Ifop,2022-03-07,1387,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-07
813,5777,Marine Le Pen,44.0,47.013,40.987,Ifop,2022-03-08,1381,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-08
812,5776,Emmanuel Macron,56.0,59.013,52.987,Ifop,2022-03-08,1381,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-08
834,5862,Marine Le Pen,43.0,46.0213,39.9787,Ifop,2022-03-09,1379,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-09
835,5863,Emmanuel Macron,57.0,60.0213,53.9787,Ifop,2022-03-09,1379,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-09
967,6545,Emmanuel Macron,57.5,60.5761,54.4239,Ifop,2022-03-10,1378,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-10
966,6544,Marine Le Pen,42.5,45.5761,39.4239,Ifop,2022-03-10,1378,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-10
92,679,Emmanuel Macron,57.5,60.5317,54.4683,Ifop,2022-03-11,1384,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-11
93,680,Marine Le Pen,42.5,45.5317,39.4683,Ifop,2022-03-11,1384,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-11
161,1194,Marine Le Pen,42.0,45.0419,38.9581,Ifop,2022-03-14,1393,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-14
160,1193,Emmanuel Macron,58.0,61.0419,54.9581,Ifop,2022-03-14,1393,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-14
1440,8688,Marine Le Pen,42.0,45.109,38.891,Ifop,2022-03-15,1391,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-15
1441,8689,Emmanuel Macron,58.0,61.109,54.891,Ifop,2022-03-15,1391,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-15
582,4181,Emmanuel Macron,57.0,60.0648,53.9352,Ifop,2022-03-16,1402,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-16
583,4182,Marine Le Pen,43.0,46.0648,39.9352,Ifop,2022-03-16,1402,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-16
1207,7712,Marine Le Pen,42.5,45.5649,39.4351,Ifop,2022-03-17,1390,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-17
1206,7711,Emmanuel Macron,57.5,60.5649,54.4351,Ifop,2022-03-17,1390,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-17
1444,8692,Emmanuel Macron,57.0,60.0511,53.9489,Ifop,2022-03-18,1397,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-18
1445,8693,Marine Le Pen,43.0,46.0511,39.9489,Ifop,2022-03-18,1397,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-18
281,2294,Emmanuel Macron,56.0,59.1598,52.8402,Ifop,2022-03-21,1378,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-21
280,2293,Marine Le Pen,44.0,47.1598,40.8402,Ifop,2022-03-21,1378,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-21
795,5670,Emmanuel Macron,55.0,58.1199,51.8801,Ifop,2022-03-22,1370,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-22
794,5669,Marine Le Pen,45.0,48.1199,41.8801,Ifop,2022-03-22,1370,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-22
1061,7052,Marine Le Pen,45.5,48.6186,42.3814,Ifop,2022-03-23,1368,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-23
1060,7051,Emmanuel Macron,54.5,57.6186,51.3814,Ifop,2022-03-23,1368,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-23
1192,7684,Marine Le Pen,46.0,48.9272,43.0728,Ifop,2022-03-24,1505,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-24
1193,7685,Emmanuel Macron,54.0,56.9272,51.0728,Ifop,2022-03-24,1505,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-24
79,575,Marine Le Pen,46.5,49.5824,43.4176,Ifop,2022-03-25,1376,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-25
78,574,Emmanuel Macron,53.5,56.5824,50.4176,Ifop,2022-03-25,1376,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-25
129,865,Marine Le Pen,47.0,50.047,43.953,Ifop,2022-03-28,1367,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-28
128,864,Emmanuel Macron,53.0,56.047,49.953,Ifop,2022-03-28,1367,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-28
516,3817,Marine Le Pen,47.0,49.6429,44.3571,Ifop,2022-03-29,1839,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-29
517,3818,Emmanuel Macron,53.0,55.6429,50.3571,Ifop,2022-03-29,1839,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-29
1047,6999,Marine Le Pen,46.5,48.8803,44.1197,Ifop,2022-03-30,2298,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-30
1046,6998,Emmanuel Macron,53.5,55.8803,51.1197,Ifop,2022-03-30,2298,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-30
116,828,Emmanuel Macron,54.0,56.1615,51.8385,Ifop,2022-03-31,2775,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-31
117,829,Marine Le Pen,46.0,48.1615,43.8385,Ifop,2022-03-31,2775,Deuxième tour,Hypothèse Macron / Le Pen,2022-03-31
590,4227,Marine Le Pen,46.5,48.6588,44.3412,Ifop,2022-04-01,2775,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-01
847,5918,Emmanuel Macron,53.0,56.186,49.814,Ifop,2022-04-01,1405,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-01
591,4228,Emmanuel Macron,53.5,55.6588,51.3412,Ifop,2022-04-01,2775,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-01
846,5917,Marine Le Pen,47.0,50.186,43.814,Ifop,2022-04-01,1405,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-01
636,4508,Emmanuel Macron,53.0,55.141,50.859,Ifop,2022-04-04,2791,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-04
637,4509,Marine Le Pen,47.0,49.141,44.859,Ifop,2022-04-04,2791,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-04
366,3011,Marine Le Pen,47.0,49.1481,44.8519,Ifop,2022-04-05,2780,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-05
367,3012,Emmanuel Macron,53.0,55.1481,50.8519,Ifop,2022-04-05,2780,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-05
447,3609,Emmanuel Macron,52.5,54.6422,50.3578,Ifop,2022-04-06,2791,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-06
446,3608,Marine Le Pen,47.5,49.6422,45.3578,Ifop,2022-04-06,2791,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-06
1159,7552,Marine Le Pen,48.0,50.1461,45.8539,Ifop,2022-04-07,2802,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-07
1158,7551,Emmanuel Macron,52.0,54.1461,49.8539,Ifop,2022-04-07,2802,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-07
1079,7121,Emmanuel Macron,52.0,54.1243,49.8757,Ifop,2022-04-08,2833,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-08
1078,7120,Marine Le Pen,48.0,50.1243,45.8757,Ifop,2022-04-08,2833,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-08
1300,8144,Marine Le Pen,49.0,52.1492,45.8508,Ifop,2022-04-10,968,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-10
1301,8145,Emmanuel Macron,51.0,54.1492,47.8508,Ifop,2022-04-10,968,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-10
1279,8003,Emmanuel Macron,52.5,56.1427,48.8573,Ifop,2022-04-11,945,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-11
1278,8002,Marine Le Pen,47.5,51.1427,43.8573,Ifop,2022-04-11,945,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-11
873,6068,Marine Le Pen,47.5,50.0663,44.9337,Ifop,2022-04-12,1877,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-12
872,6067,Emmanuel Macron,52.5,55.0663,49.9337,Ifop,2022-04-12,1877,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-12
1506,8835,Marine Le Pen,47.0,49.102,44.898,Ifop,2022-04-13,2831,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-13
1507,8836,Emmanuel Macron,53.0,55.102,50.898,Ifop,2022-04-13,2831,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-13
1281,8005,Marine Le Pen,46.5,48.6286,44.3714,Ifop,2022-04-14,2816,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-14
1280,8004,Emmanuel Macron,53.5,55.6286,51.3714,Ifop,2022-04-14,2816,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-14
489,3742,Emmanuel Macron,53.5,55.6499,51.3501,Ifop,2022-04-15,2817,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-15
488,3741,Marine Le Pen,46.5,48.6499,44.3501,Ifop,2022-04-15,2817,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-15
1484,8813,Marine Le Pen,45.0,47.1137,42.8863,Ifop,2022-04-19,2804,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-19
1485,8814,Emmanuel Macron,55.0,57.1137,52.8863,Ifop,2022-04-19,2804,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-19
1504,8833,Emmanuel Macron,55.5,57.6117,53.3883,Ifop,2022-04-20,2818,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-20
1505,8834,Marine Le Pen,44.5,46.6117,42.3883,Ifop,2022-04-20,2818,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-20
887,6108,Emmanuel Macron,55.5,57.6237,53.3763,Ifop,2022-04-21,2839,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-21
886,6107,Marine Le Pen,44.5,46.6237,42.3763,Ifop,2022-04-21,2839,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-21
1478,8807,Emmanuel Macron,55.0,57.1136,52.8864,Ifop,2022-04-22,2834,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-22
1479,8808,Marine Le Pen,45.0,47.1136,42.8864,Ifop,2022-04-22,2834,Deuxième tour,Hypothèse Macron / Le Pen,2022-04-22
