Rank,Country,ISO,IFS Code,Region,Country Rank,Score
91,Sri Lanka,LKA,524,AP,91,37
94,Algeria,DZA,612,ME,94,36
94,Armenia,ARM,911,EE,94,36
94,Benin,BEN,638,AF,94,36
94,Colombia,COL,233,AM,94,36
94,Djibouti,DJI,611,AF,94,36
94,India,IND,534,AP,94,36
94,Philippines,PHL,566,AP,94,36
94,Suriname,SUR,366,AM,94,36
102,Ecuador,ECU,248,AM,102,35
102,Moldova,MDA,921,EE,102,35
102,Panama,PAN,283,AM,102,35
102,Thailand,THA,578,AP,102,35
106,Argentina,ARG,213,AM,106,34
106,Bolivia,BOL,218,AM,106,34
106,Gabon,GAB,646,AF,106,34
106,Mexico,MEX,273,AM,106,34
106,Niger,NER,692,AF,106,34
111,Ethiopia,ETH,644,AF,111,33
111,Kosovo,LWI,EE,111,33
111,Tanzania,TZA,738,AF,111,33
114,Egypt,EGY,469,ME,114,32
114,Indonesia,IDN,536,AP,114,32
116,Albania,ALB,914,EE,116,31
116,Nepal,NPL,558,AP,116,31
116,Vietnam,VNM,582,AP,116,31
119,Mauritania,MRT,682,AF,119,30
119,Mozambique,MOZ,688,AF,119,30
119,Sierra Leone,SLE,724,AF,119,30
119,Timor-Leste,TLS,537,AP,119,30
123,Belarus,BLR,913,EE,123,29
123,Dominican Republic,DOM,243,AM,123,29
123,Guatemala,GTM,258,AM,123,29
123,Togo,TGO,742,AF,123,29
127,Azerbaijan,AZE,912,EE,127,28
127,Comoros,COM,632,AF,127,28
127,Gambia,GMB,648,AF,127,28
127,Lebanon,LBN,446,ME,127,28
127,Madagascar,MDG,674,AF,127,28
127,Mali,MLI,678,AF,127,28
127,Nicaragua,NIC,278,AM,127,28
127,Pakistan,PAK,564,AP,127,28
127,Russia,RUS,922,EE,127,28
136,Bangladesh,BGD,513,AP,136,27
136,C�te d�Ivoire,CIV,662,AF,136,27
136,Guyana,GUY,336,AM,136,27
136,Kenya,KEN,664,AF,136,27
140,Honduras,HND,268,AM,140,26
140,Kazakhstan,KAZ,916,EE,140,26
140,Laos,LAO,544,AP,140,26
140,Uganda,UGA,746,AF,140,26
144,Cameroon,CMR,622,AF,144,25
144,Central African Republic,CAF,626,AF,144,25
144,Iran,IRN,429,ME,144,25
144,Nigeria,NGA,694,AF,144,25
144,Papua New Guinea,PNG,853,AP,144,25
144,Ukraine,UKR,926,EE,144,25
150,Guinea,GIN,656,AF,150,24
150,Kyrgyzstan,KGZ,917,EE,150,24
150,Paraguay,PRY,288,AM,150,24
153,Angola,AGO,614,AF,153,23
154,Congo Republic,COG,634,AF,154,22
154,Democratic Republic of the Congo,COD,636,AF,154,22
154,Tajikistan,TJK,923,EE,154,22
157,Burundi,BDI,618,AF,157,21
157,Myanmar,MMR,518,AP,157,21
157,Zimbabwe,ZWE,698,AF,157,21
160,Cambodia,KHM,522,AP,160,20
160,Eritrea,ERI,643,AF,160,20
160,Venezuela,VEN,299,AM,160,20
163,Chad,TCD,628,AF,163,19
163,Equatorial Guinea,GNQ,642,AF,163,19
163,Guinea-Bissau,GNB,654,AF,163,19
163,Haiti,HTI,263,AM,163,19
167,Yemen,YEM,474,ME,167,18
168,Syria,SYR,463,ME,168,17
168,Turkmenistan,TKM,925,EE,168,17
168,Uzbekistan,UZB,927,EE,168,17
171,Iraq,IRQ,ME,171,16
172,Libya,LBY,672,ME,172,15
174,Sudan,SDN,732,ME,174,11
175,Afghanistan,AFG,512,AP,175,8
175,Korea (North),PRK,AP,175,8
175,Somalia,SOM,726,AF,175,8
