Country,ISO,Region,Score,Rank,standard error ,Number of sources,
Armenia,ARM,ECA,42,77,4,31,6
Bahrain,BHR,MENA,42,77,7,65,6
Solomon Islands,SLB,AP,42,77,8,69,3
Benin,BEN,SSA,41,80,2,64,7
China,CHN,AP,41,80,2,10,8
Ghana,GHA,SSA,41,80,2,76,9
India,IND,AP,41,80,1,60,9
Morocco,MAR,MENA,41,80,3,15,7
Burkina Faso,BFA,SSA,40,85,2,54,8
Guyana,GUY,AME,40,85,3,34,5
Indonesia,IDN,AP,40,85,3,76,9
Kuwait,KWT,MENA,40,85,1,88,6
Lesotho,LSO,SSA,40,85,3,95,6
Trinidad and Tobago,TTO,AME,40,85,5,38,7
Serbia,SRB,ECA,39,91,2,48,8
Turkey,TUR,ECA,39,91,3,34,9
Ecuador,ECU,AME,38,93,2,19,7
Sri Lanka,LKA,AP,38,93,2,11,7
Timor-Leste,TLS,AP,38,93,4,50,4
Colombia,COL,AME,37,96,2,49,8
Ethiopia,ETH,SSA,37,96,1,52,9
Gambia,GMB,SSA,37,96,5,98,7
Tanzania,TZA,SSA,37,96,1,92,9
Vietnam,VNM,AP,37,96,2,84,8
Bosnia and Herzegovina,BIH,ECA,36,101,1,95,7
Kosovo,KSV,ECA,36,101,0,81,5
Panama,PAN,AME,36,101,1,37,7
Peru,PER,AME,36,101,3,07,8
Thailand,THA,AP,36,101,2,45,9
Albania,ALB,ECA,35,106,2,51,8
Algeria,DZA,MENA,35,106,2,59,7
Brazil,BRA,AME,35,106,4,06,8
Cote d'Ivoire,CIV,SSA,35,106,2,49,9
Egypt,EGY,MENA,35,106,4,86,7
North Macedonia,MKD,ECA,35,106,3,56,7
Mongolia,MNG,AP,35,106,1,89,9
El Salvador,SLV,AME,34,113,2,56,7
Kazakhstan,KAZ,ECA,34,113,4,18,9
Nepal,NPL,AP,34,113,1,76,6
Philippines,PHL,AP,34,113,1,59,9
Eswatini,SWZ,SSA,34,113,6,08,4
Zambia,ZMB,SSA,34,113,1,97,9
Sierra Leone,SLE,SSA,33,119,3,47,8
Moldova,MDA,ECA,32,120,2,40,9
Niger,NER,SSA,32,120,1,72,7
Pakistan,PAK,AP,32,120,2,46,8
Bolivia,BOL,AME,31,123,3,00,7
Gabon,GAB,SSA,31,123,2,41,6
Malawi,MWI,SSA,31,123,1,78,9
Azerbaijan,AZE,ECA,30,126,7,16,7
Djibouti,DJI,SSA,30,126,4,28,5
Kyrgyzstan,KGZ,ECA,30,126,2,54,7
Ukraine,UKR,ECA,30,126,2,38,9
Guinea,GIN,SSA,29,130,2,50,8
Laos,LAO,AP,29,130,5,00,5
Maldives,MDV,AP,29,130,2,57,3
Mali,MLI,SSA,29,130,2,62,8
Mexico,MEX,AME,29,130,1,73,9
Myanmar,MMR,AP,29,130,4,21,7
Togo,TGO,SSA,29,130,2,40,7
Dominican Republic,DOM,AME,28,137,2,70,7
Kenya,KEN,SSA,28,137,2,17,9
Lebanon,LBN,MENA,28,137,2,27,7
Liberia,LBR,SSA,28,137,2,67,7
Mauritania,MRT,SSA,28,137,2,73,6
Papua New Guinea,PNG,AP,28,137,2,38,6
Paraguay,PRY,AME,28,137,2,84,6
Russia,RUS,ECA,28,137,2,48,9
Uganda,UGA,SSA,28,137,2,04,9
Angola,AGO,SSA,26,146,1,82,7
Bangladesh,BGD,AP,26,146,2,62,8
Guatemala,GTM,AME,26,146,2,23,7
Honduras,HND,AME,26,146,3,25,7
Iran,IRN,MENA,26,146,3,63,7
Mozambique,MOZ,SSA,26,146,2,98,9
Nigeria,NGA,SSA,26,146,1,87,8
Cameroon,CMR,SSA,25,153,2,42,9
Central African Republic,CAF,SSA,25,153,1,43,5
Comoros,COM,SSA,25,153,8,90,4
Tajikistan,TJK,ECA,25,153,6,66,6
Uzbekistan,UZB,ECA,25,153,2,01,7
Madagascar,MDG,SSA,24,158,2,48,8
Zimbabwe,ZWE,SSA,24,158,2,31,9
Eritrea,ERI,SSA,23,160,6,66,5
Nicaragua,NIC,AME,22,161,1,16,7
Cambodia,KHM,AP,20,162,3,41,8
Chad,TCD,SSA,20,162,2,45,6
Iraq,IRQ,MENA,20,162,2,98,5
Burundi,BDI,SSA,19,165,4,89,6
Congo,COG,SSA,19,165,1,03,6
Turkmenistan,TKM,ECA,19,165,1,42,5
Democratic Republic of the Congo,COD,SSA,18,168,1,43,9
Guinea Bissau,GNB,SSA,18,168,2,91,6
Haiti,HTI,AME,18,168,3,23,6
Libya,LBY,MENA,18,168,2,24,5
Korea North,PRK,AP,17,172,3,16,4
Afghanistan,AFG,AP,16,173,2,55,5
Equatorial Guinea,GNQ,SSA,16,173,3,00,4
Sudan,SDN,SSA,16,173,2,74,7
Venezuela,VEN,AME,16,173,2,05,8
Yemen,YEM,MENA,15,177,1,89,7
Syria,SYR,MENA,13,178,1,92,5
South Sudan,SSD,SSA,12,179,1,26,5
Somalia,SOM,SSA,9,180,1,74,5
